start	end	text
0	5000	Hey everyone, welcome to AI Agent 101.
5000	11000	Today we're going to take a fun practical look at what makes large language models more than just chatbots,
11000	16000	and how to turn them into powerful open source agents that can actually do things.
16000	24000	To warm up, let's look at a real open source example built by a project called WebUI by Browser Use.
24000	27000	Here's a scenario. Say I want to cook chili for dinner.
27000	31000	So I'm going to prompt the agent, I want to cook chili for dinner tonight.
31000	35000	Can you find the ingredients and put them in my shopping cart?
35000	38000	This open source agent plans the workflow for me.
38000	43000	It finds the recipe, extracts the ingredients, and adds them to the cart automatically.
43000	51000	Watch how it alternates between thinking and doing, reasoning about the recipe, then browsing online, then taking action to fill the basket.
51000	56000	That's the React agent pattern in motion, combining reasoning with real-world action.
56000	63000	Instead of just answering questions, the model becomes a practical assistant that helps you actually accomplish things.
63000	65000	Here's an important distinction.
65000	69000	An LLM on its own, it's like a really smart book.
69000	73000	It can answer questions, but it can't actually do anything.
73000	77000	An agent takes that same LLM and treats it as the brain.
77000	81000	The brain can reason, plan, and make decisions.
81000	83000	But to act, it needs tools.
83000	89000	What an agent is capable of depends entirely on what tools and capabilities we give it.
89000	96000	If the agent only has a calculator tool, it can only act and perform for math-related actions.
96000	99000	If you add a browser tool, now it can search online.
99000	103000	And if you add shopping APIs, suddenly it can buy groceries for you.
103000	105000	Let's look at an example.
105000	108000	Agent A has only a calendar tool.
108000	111000	It can help you schedule meetings, but it can't check the weather.
111000	116000	Now, Agent B has a calendar tool, the weather tool, and a browser tool.
116000	124000	Now, not only you can schedule your meetings, but also check the weather and even find the best cafes nearby.
124000	126000	Same brain, different tools.
126000	129000	The difference is not in the LLM itself.
129000	131000	It's the toolbox we provide it to.
131000	133000	That's the magic of agents.
133000	137000	LLMs provide the reasoning, but the tools define the actions.
137000	141000	The more useful the tools, the more capable the agents become.
141000	147000	The React paradigm is what turns an LLM from a passive Q&A system into an active agent.
147000	149000	And here's how it works.
149000	152000	For the reasoning part, the LLM thinks about the problem.
152000	159000	For example, for the Chile example, it knows that it needs to find the ingredients for Chile.
159000	161000	The action part is based on that reasoning.
161000	168000	It calls a tool, searching online, grabbing a list of ingredients, or maybe even calling a shopping API.
168000	173000	And for the loop, the agent alternates between reasoning and acting.
173000	177000	It checks the progress and continues until the goal is achieved.
177000	183000	This React, which is Reason plus Act cycle, is simple, but powerful.
183000	186000	It's the foundation of almost every modern agent framework.
186000	191000	It lets us move from static answers to real-world actions.
191000	197000	To build agents around the React loop, we rely on frameworks that handle orchestration.
197000	202000	Pydantic AI is a choice that we made for this course, but there is more than Pydantic AI.
202000	207000	Pydantic AI is a simple and easy for developers to build reliable agents.
207000	212000	There is more frameworks such as LandGraph, which is specialized in chaining and orchestration.
212000	217000	There is OpenAI SDK, Crew AI, and more.
217000	221000	Each framework fits a different level of complexity. The choice depends on your need.
221000	227000	With AMD GPU, as long as you power the LLM, you can choose any of these open source frameworks.
227000	233000	Another key piece of this puzzle is MCP, the model context protocol.
233000	239000	Think of MCP as the standardized wiring between your agent and the outside world.
239000	247000	Instead of hard coding every integration, MCP provides a common language so LLMs can discover and use tools in a consistent way.
247000	258000	That means you can connect your agent to external APIs like calendars, weather services, or databases, without writing a custom adapter for each.
258000	268000	You can reuse pre-built MCP servers. For example, if someone already built a weather MCP server, you can just plug it in and your agent instantly has weather capabilities.
268000	275000	In short, MCP lowers the friction. It makes it much easier to expand what your agents can do.
275000	278000	Finally, the model, the brain, or LLM.
278000	283000	If you're running agents at scale, you don't want to be locked into expensive cloud endpoints.
283000	292000	With open source inference engines like VLLM and SGLANG, you can serve the model of your choice with an OpenAI compatible API.
292000	299000	That gives you flexibility to run open source models like Quint3, GPT-OSS, or DeepSeq.
299000	305000	You can deploy them on AMD GPUs and then connect them to your AI agentic framework of your choice.
305000	314000	Let's get hands on. We'll walk through this notebook, starting with spinning a VLLM server on an AMD GPU,
314000	324000	then connecting to our Pedantic AI agent, and finally wiring an NCP to give it real-world capabilities.
324000	329000	VLLM is an open source inference engine that's fully OpenAI compatible.
329000	338000	It allows you to run the model on GPUs such as AMD and SGLANG MI300X, and serve models like Quint3.
338000	344000	This creates a local API, so you can connect it to your agentic framework of choice.
344000	352000	Once you've started your VLLM server, and you have the endpoint ready, now we can define our agent.
352000	356000	Pydantic AI wraps our model and connects it to an agent instance.
356000	360000	At this point, the agent can reason, but can't take any actions.
360000	363000	It's a pure LLM brain with no tools.
363000	366000	So, let's say if you ask, what's the date today?
366000	369000	It'll fail because it has no access to real-time data.
369000	372000	Let's fix that by giving it a tool.
372000	375000	The ability to check the current date.
375000	381000	We define a simple function, decorate it with tool, and add it to our agent.
381000	387000	Now, when the model encounters a time-related question, it can decide to call the function.
387000	390000	This is the essence of tool calling.
390000	395000	The model decides when and why to use the tool, based on its reasoning.
395000	397000	Let's test it out.
397000	400000	When we ask, what's the date today?
400000	405000	The agent uses the tool, gets the current time, and continues the conversation.
405000	409000	So now, we've officially built our first reasoning acting loop.
409000	413000	Now it's time to scale this idea with MCP, the model context protocol.
413000	419000	As we said before, MCP standardizes how agents discover and use tools.
419000	423000	You can think of it like a package manager for agent tool.
423000	433000	Instead of manually writing Python functions, you can connect a ready-made MCP server that exposes multiple tools through one unified interface.
433000	436000	Here's what happens under the hood.
436000	441000	The agent framework, like Pydantic AI, acts as MCP client.
441000	446000	It connects to one or more MCP servers, each of which provides a tool set.
446000	455000	For example, one server might offer get current time, another Airbnb search, another weather forecast.
455000	464000	These servers expose the standard JSON schemas describing what each tool does, and what parameters it needs, and what output to expect.
464000	475000	The agent dynamically queries these schemas, decides which tool to use, sends a request, and processes the response, all in the same reasoning loop.
475000	478000	This makes MCP incredibly powerful.
478000	486000	Instead of hard coding tool logic, you can plug in a pack of tools, and your agent instantly gains new abilities.
486000	492000	In our notebook, we'll replace our local get current date tool with an MCP server.
492000	500000	Then we'll plug in another MCP server, the Airbnb MCP, to let the agent browse listings.
500000	506000	Once you go through the notebook and add Airbnb and time MCPs, you can test out the agent.
506000	510000	Now our agent can browse real Airbnb listings.
510000	516000	When we ask, find a place to stay in Vancouver next Sunday for three nights for two adults.
516000	519000	The agent goes through the loop of reasoning.
519000	524000	It first gets the current date from the time server that we define.
524000	527000	Then it calculates when next Sunday is going to be.
527000	531000	Then it uses the Airbnb search to find listings.
531000	534000	It gets the details from the Airbnb listing details.
534000	538000	And all dynamically happening within the loop.
538000	541000	So you can get the final answers from your agent.
541000	545000	Now that you've built the foundation, the challenge is to expand the agent.
545000	553000	For example, you can integrate the weather MCP server so your agent can check the weather forecast to suggest traveling dates.
553000	555000	The pattern stays the same.
555000	559000	Spin up a new MCP server, just like what we did before, and add it to the toolset.
559000	562000	And let the agent decide when to call it.
562000	568000	Because MCP is a shared protocol, you can discover thousands of compatible servers online.
568000	574000	This modular design means your agent can grow over time, gaining new skills without rewriting code.
574000	579000	So to recap, LLMs become agents when they can reason and act.
579000	583000	Frameworks like Pedantic AI manage this reasoning action loop.
583000	588000	MCP provides a universal interface to connect any tool or API.
588000	595000	And AMD GPUs give you the open, high-performance backbone to run it all efficiently.
595000	602000	With these tools, you can go from static chatbots to dynamic AI systems that truly interact with the real world.
602000	608000	You can plug in hundreds of tools, host your own inference, and control the entire agentic stack.
608000	610000	All open, all yours.
610000	613000	Thank you for watching, and now let's start building.
613000	614000	Let's go to the next video.
614000	615000	Let's go to the next video.
615000	616000	Let's go to the next video.
616000	617000	Let's go to the next video.
617000	618000	Let's go to the next video.
618000	619000	Let's go to the next video.
619000	620000	Let's go to the next video.
620000	621000	Let's go to the next video.
621000	622000	Let's go to the next video.
622000	623000	Let's go to the next video.
623000	624000	Let's go to the next video.
624000	625000	Let's go to the next video.
625000	626000	Let's go to the next video.
