Rank,City,Population,Area_KM2,Area_Mi2,Density_KM2,Density_Mi2,Country
1,Manila,1846513,43,17,43062,111532,Philippines
2,Mandaluyong,425758,11,4,38495,99703,Philippines
3,Pateros,65227,2,1,37061,95988,Philippines
4,Caloocan,1661584,53,21,31233,80893,Philippines
5,Bnei Brak,212646,7,3,30001,77702,Israel
6,Kathmandu,1442000,49,19,29161,75526,Nepal
7,Dhaka,8906136,306,118,29069,75289,Bangladesh
8,Makati,629616,22,8,28975,75044,Philippines
9,Manhattan,1628701,59,23,27544,71340,USA
10,Port-au-Prince,987310,36,14,27395,70953,Haiti
11,Levallois-Perret,64379,2,1,26713,69187,France
12,Vincennes,49891,2,1,26121,67653,France
13,Le Pré-Saint-Gervais,17950,1,0,25643,66415,France
14,Mumbai,12442373,603,233,20634,53442,India
15,Paris,2148271,105,41,20382,52789,France
16,Delhi,11034555,573,221,19257,49876,India
17,Macau,643100,32,12,20096,52049,China
18,Kolkata,4496694,205,79,21935,56811,India
19,Tokyo,13960000,2194,847,6362,16479,Japan
20,Osaka,2691000,225,87,11960,30976,Japan
21,Yokohama,3725000,437,169,8524,22077,Japan
22,Hanoi,5250000,3358,1297,1563,4048,Vietnam
23,Ho Chi Minh City,8993000,2061,796,4363,11300,Vietnam
24,Shanghai,26320000,6340,2448,4151,10751,China
25,Beijing,21540000,16410,6336,1313,3400,China
26,Barcelona,1620343,101,39,15995,41427,Spain
27,Seoul,9776000,605,234,16158,41849,South Korea
28,Brooklyn,2559903,180,69,14221,36832,USA
29,Queens,2253858,280,108,8049,20847,USA
30,Da Nang,1134310,1285,496,883,2287,Vietnam
