customer_id,year_of_birth,educational_level,marital_status,annual_income
20201715,1988,Graduation,Married,52000
20201716,1995,Master,Single,48000
20201717,1982,PhD,Divorced,72500
20201718,1976,Graduation,Married,
20201719,1999,Basic,Single,22000
20201720,1965,Master,Together,68000
20201721,1985,PhD,Married,85000
20201722,1992,Graduation,Single,34000
20201723,1970,Master,Divorced,56000
20201724,1955,PhD,Widowed,92000
20201725,1990,Basic,Together,18000
20201726,1983,Graduation,Married,45500
20201727,1978,Master,Single,61000
20201728,1962,PhD,Married,78000
20201729,2001,Basic,Single,15000
20201730,1987,Graduation,Divorced,
20201731,1993,Master,Married,53000
20201732,1958,PhD,Widowed,88000
20201733,1980,Graduation,Together,42000
20201734,1975,Master,Single,64000
20201735,1996,Basic,Married,26000
20201736,1968,PhD,Divorced,81000
20201737,1989,Graduation,Single,39000
20201738,1960,Master,Widowed,75000
20201739,1998,Basic,Together,20000
20201740,1972,PhD,Married,95000
