customer_id,year_of_birth,educational_level,marital_status,annual_income
20201701,1982,Graduation,Single,58138.0
20201702,1950,Graduation,Married,46344.0
20201703,1965,Graduation,Divorced,71613.0
20201704,1984,Graduation,Relationship,26646.0
20201705,1981,PhD,Widowed,58293.0
20201706,1967,Master,Relationship,62000.0
20201707,1971,Graduation,Divorced,55635.0
20201708,1985,PhD,Married,33454.0
20201709,1974,PhD,Widowed,30351.0
20201710,1950,PhD,Single,5648.0
20201711,1983,Graduation,Single,
20201712,1976,Basic,Relationship,7500.0
20201713,1959,Graduation,Divorced,63033.0
20201714,1952,Master,Single,59354.0
20201715,1988,Basic,Widowed,83335.0
20201716,2001,Graduation,Widowed,30965.0
20201717,1978,Graduation,Married,44538.0
20201718,1964,PhD,Widowed,90592.0
20201719,1992,Graduation,Married,28110.0
20201720,1957,Basic,Single,99309.0
20201721,1970,Graduation,Relationship,47266.0
20201722,1988,Master,Relationship,
20201723,1968,PhD,Relationship,26910.0
20201724,1972,Graduation,Widowed,20206.0
20201725,1960,Graduation,Single,43419.0
20201726,1960,Basic,Widowed,70636.0
20201727,1973,PhD,Widowed,70015.0
20201728,2002,Graduation,Single,74268.0
20201729,1985,Graduation,Single,38141.0
20201730,1989,Graduation,Single,91910.0
20201731,1973,Graduation,Single,76044.0
20201732,1952,PhD,Relationship,87214.0
20201733,1971,PhD,Divorced,53827.0
20201734,2002,Master,Divorced,75820.0
20201735,1951,Graduation,Single,82623.0
20201736,1973,Graduation,Divorced,95450.0
20201737,1993,Graduation,Divorced,42299.0
20201738,1979,Master,Single,63585.0
20201739,1987,Graduation,Divorced,
20201740,1951,Graduation,Widowed,62557.0
20201741,1970,PhD,Married,69080.0
20201742,1982,Graduation,Married,22693.0
20201743,1961,Master,Single,89163.0
20201744,1971,Graduation,Relationship,45939.0
20201745,1993,Graduation,Single,68925.0
20201746,1974,Basic,Relationship,62941.0
20201747,1998,Master,Married,41834.0
20201748,1976,Graduation,Single,38047.0
20201749,1991,PhD,Widowed,46105.0
20201750,1977,PhD,Divorced,95766.0



































































































